locus_tag,state,TB.state,TY.state,GR.state,ICE.state,FUN,NCBI,KO,KA,gene,COG,CA,gene_name,start,end,gene_length,strand,ins_index.WTES,ins_index.WTTB,ins_index.WTTY,ins_index.WTGR,ins_index.NSES,ins_index.NSTB,ins_index.NSTY,ins_index.NSGR
R7A2020_26445,NE,NE,NE,NE,NA,NA,heme peroxidase,NA,NA,NA,S,Animal haem peroxidase,R7A2020_26445,5386539,5388095,1557,1,0.131,0.046,0.048,0.029,0.143,0.046,0.038,0.06
R7A2020_26450,NE,NE,NE,NE,NA,NA,peptidoglycan-binding protein,NA,NA,NA,M,lysozyme,R7A2020_26450,5388310,5389704,1395,1,0.093,0.029,0.04,0.027,0.11,0.033,0.041,0.043
R7A2020_26455,NE,NE,NE,WT-GR-ES,NA,PSEUDO,pseudogene,NA,NA,NA,NA,NA,R7A2020_26455,5389873,5389998,126,-1,0.074,0.019,0.037,0,0.111,0.028,0.065,0.019
R7A2020_26460,NE,NE,NE,NE,NA,NA,allophanate hydrolase,K01457,allophanate hydrolase [EC:3.5.1.54],atzF,J,Amidase,atzF,5390158,5392017,1860,-1,0.171,0.066,0.069,0.041,0.167,0.068,0.052,0.053
R7A2020_26465,NE,NE,NE,NE,NA,NA,allophanate hydrolase,NA,NA,NA,T,ChrR Cupin-like domain,R7A2020_26465,5392014,5392364,351,-1,0.157,0.057,0.05,0.037,0.181,0.06,0.043,0.054
R7A2020_26470,NE,NE,NE,NE,NA,NA,cysteine hydrolase,K23359,biuret amidohydrolase [EC:3.5.1.84],rutB,Q,Isochorismatase family,R7A2020_26470,5392357,5393025,669,-1,0.14,0.058,0.061,0.032,0.161,0.049,0.051,0.044
R7A2020_26475,NE,NE,NE,NE,NA,NA,ABC transporter ATP-binding protein,K23537,general nucleoside transport system ATP-binding protein,NA,S,ATPases associated with a variety of cellular activities,R7A2020_26475,5393025,5394548,1524,-1,0.144,0.054,0.06,0.046,0.143,0.048,0.059,0.056
R7A2020_26480,NE,NE,NE,NE,NA,NA,cysteine hydrolase,K23359,biuret amidohydrolase [EC:3.5.1.84],rutB,Q,Isochorismatase family,R7A2020_26480,5394559,5395260,702,-1,0.161,0.062,0.064,0.035,0.169,0.069,0.039,0.055
R7A2020_26485,NE,NE,NE,NE,NA,NA,ABC transporter permease,K23536,general nucleoside transport system permease protein,rbsC-2,S,Branched-chain amino acid transport system / permease component,R7A2020_26485,5395275,5396201,927,-1,0.172,0.066,0.07,0.041,0.16,0.06,0.053,0.046
R7A2020_26490,NE,NE,NE,NE,NA,NA,ABC transporter permease,K23535,general nucleoside transport system permease protein,NA,S,Branched-chain amino acid transport system / permease component,R7A2020_26490,5396201,5397325,1125,-1,0.169,0.076,0.064,0.05,0.16,0.065,0.051,0.054
R7A2020_26495,NE,NE,NE,NE,NA,NA,BMP family ABC transporter substrate-binding protein,K07335,basic membrane protein A and related proteins,NA,S,ABC transporter substrate-binding protein PnrA-like,R7A2020_26495,5397344,5398471,1128,-1,0.126,0.047,0.045,0.027,0.136,0.052,0.045,0.041
R7A2020_26500,NE,NE,NE,NE,NA,NA,GntR family transcriptional regulator,NA,NA,NA,K,COG1802 Transcriptional regulators,R7A2020_26500,5398757,5399449,693,1,0.171,0.078,0.056,0.054,0.18,0.066,0.051,0.076
R7A2020_26505,NE,NE,NE,NE,NA,NA,TetR/AcrR family transcriptional regulator,K16137,"TetR/AcrR family transcriptional regulator, transcriptional repressor for nem operon",NA,K,"Bacterial regulatory proteins, tetR family",R7A2020_26505,5399820,5400395,576,-1,0.114,0.033,0.055,0.02,0.106,0.045,0.035,0.026
R7A2020_26510,NE,NE,NE,NE,NA,NA,glutathione S-transferase,K00799,glutathione S-transferase [EC:2.5.1.18],NA,O,"Glutathione S-transferase, C-terminal domain",R7A2020_26510,5400500,5401186,687,1,0.178,0.068,0.065,0.046,0.13,0.051,0.034,0.038
R7A2020_26515,NE,NE,NE,NE,NA,NA,alpha/beta hydrolase,K00433,non-heme chloroperoxidase [EC:1.11.1.10],NA,I,"Serine aminopeptidase, S33",R7A2020_26515,5401283,5402254,972,1,0.155,0.069,0.063,0.04,0.181,0.082,0.064,0.046
R7A2020_26520,NE,NE,NE,NE,NA,NA,hypothetical protein,NA,NA,NA,NA,NA,R7A2020_26520,5402631,5402780,150,1,0.086,0.039,0.031,0.023,0.117,0.031,0.047,0.055
R7A2020_26525,NE,NE,NE,NS-GR-ES,NA,K,winged helix-turn-helix transcriptional regulator,NA,NA,NA,K,helix_turn_helix multiple antibiotic resistance protein,R7A2020_26525,5402927,5403352,426,1,0.118,0.061,0.03,0.025,0.11,0.074,0.036,0.014
R7A2020_26530,NE,NE,NE,NE,NA,NA,NmrA family NAD(P)-binding protein,K19267,NAD(P)H dehydrogenase (quinone) [EC:1.6.5.2],NA,GM,NmrA-like family,R7A2020_26530,5403419,5404312,894,1,0.152,0.058,0.06,0.034,0.12,0.046,0.055,0.032
R7A2020_26535,NE,NE,NE,NE,NA,NA,PLP-dependent aminotransferase family protein,K00375,GntR family transcriptional regulator / MocR family aminotransferase,NA,K,aminotransferase class I and II,R7A2020_26535,5404780,5406192,1413,-1,0.142,0.051,0.055,0.046,0.158,0.057,0.049,0.051
R7A2020_26540,NE,NE,NE,NE,NA,NA,MFS transporter,NA,NA,NA,EGP,Major facilitator Superfamily,R7A2020_26540,5406275,5407447,1173,1,0.189,0.067,0.079,0.043,0.183,0.083,0.059,0.067
R7A2020_26545,NE,NE,NE,NE,NA,NA,dihydrofolate reductase,NA,NA,NA,H,RibD C-terminal domain,R7A2020_26545,5407477,5408019,543,1,0.139,0.052,0.069,0.03,0.18,0.054,0.084,0.069
R7A2020_26550,NE,NE,NS-TY-ES,NE,NA,M,hypothetical protein,K16565,exopolysaccharide production repressor protein,NA,NA,NA,R7A2020_26550,5408629,5408913,285,-1,0.074,0.025,0.037,0.012,0.078,0.029,0.008,0.025
R7A2020_26555,NE,NE,NE,NE,NA,NA,hypothetical protein,NA,NA,NA,NA,NA,R7A2020_26555,5409639,5409887,249,1,0.178,0.056,0.052,0.052,0.16,0.042,0.056,0.061
R7A2020_26560,NE,NE,NE,NE,NA,NA,N-acetyltransferase,NA,NA,NA,K,Acetyltransferase (GNAT) domain,R7A2020_26560,5410091,5410990,900,-1,0.086,0.018,0.047,0.033,0.116,0.035,0.043,0.042
R7A2020_26565,NE,NE,NE,NE,NA,NA,acetylornithine deacetylase,K01438,acetylornithine deacetylase [EC:3.5.1.16],argE,E,Belongs to the peptidase M20A family. ArgE subfamily,argE,5411215,5412339,1125,1,0.147,0.048,0.052,0.039,0.147,0.046,0.049,0.061
R7A2020_26570,NE,NE,NE,NE,NA,NA,glyoxylate/hydroxypyruvate reductase A,K12972,glyoxylate/hydroxypyruvate reductase [EC:1.1.1.79 1.1.1.81],NA,EH,"D-isomer specific 2-hydroxyacid dehydrogenase, NAD binding domain",R7A2020_26570,5412350,5413273,924,1,0.162,0.066,0.065,0.032,0.172,0.071,0.06,0.045
R7A2020_26575,NE,NE,NE,NE,NA,NA,cupin domain-containing protein,K06995,uncharacterized protein,NA,S,Protein of unknown function (DUF861),R7A2020_26575,5413297,5413650,354,1,0.169,0.066,0.073,0.033,0.136,0.056,0.04,0.043
R7A2020_26580,NE,NE,NE,NE,NA,NA,aldehyde dehydrogenase,NA,NA,NA,C,belongs to the aldehyde dehydrogenase family,R7A2020_26580,5413801,5415264,1464,1,0.157,0.071,0.063,0.043,0.157,0.069,0.059,0.052
R7A2020_26585,NE,NE,NE,NE,NA,NA,tartrate dehydrogenase,K07246,tartrate dehydrogenase/decarboxylase / D-malate dehydrogenase [EC:1.1.1.93 4.1.1.73 1.1.1.83],ttuC,CE,Isocitrate/isopropylmalate dehydrogenase,R7A2020_26585,5415275,5416318,1044,1,0.154,0.055,0.068,0.045,0.136,0.059,0.046,0.045
R7A2020_26590,NE,NE,NE,NE,NA,NA,NAD-dependent succinate-semialdehyde dehydrogenase,K00135,succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.79 1.2.1.20],gabD,C,Aldehyde dehydrogenase family,R7A2020_26590,5416336,5417793,1458,1,0.143,0.057,0.046,0.032,0.136,0.058,0.042,0.04
R7A2020_26595,NE,NE,NE,NE,NA,NA,FAD-binding oxidoreductase,K09471,gamma-glutamylputrescine oxidase [EC:1.4.3.-],ordL,E,FAD dependent oxidoreductase,R7A2020_26595,5417831,5419105,1275,-1,0.124,0.059,0.043,0.035,0.117,0.039,0.032,0.044
R7A2020_26600,NE,NE,NE,NE,NA,NA,haloacid dehalogenase type II,K01560,2-haloacid dehalogenase [EC:3.8.1.2],hadL,S,Haloacid dehalogenase-like hydrolase,R7A2020_26600,5419122,5419790,669,-1,0.161,0.07,0.054,0.037,0.161,0.07,0.056,0.046
R7A2020_26605,NE,NE,NE,NE,NA,NA,GNAT family N-acetyltransferase,NA,NA,NA,K,Acetyltransferase (GNAT) domain,R7A2020_26605,5420109,5420948,840,1,0.146,0.056,0.049,0.045,0.132,0.052,0.034,0.031
R7A2020_26610,NE,NE,NE,NE,NA,NA,aspartate aminotransferase family protein,K12256,putrescine---pyruvate transaminase [EC:2.6.1.113],y4uB,H,Aminotransferase class-III,R7A2020_26610,5420963,5422336,1374,1,0.161,0.062,0.056,0.042,0.163,0.059,0.056,0.049
R7A2020_26615,NE,NE,NE,NE,NA,NA,HAD-IA family hydrolase,NA,NA,hadL,S,Haloacid dehalogenase-like hydrolase,R7A2020_26615,5422574,5423296,723,1,0.089,0.028,0.033,0.028,0.096,0.037,0.031,0.031
R7A2020_26620,NE,NE,NE,NE,NA,NA,ABC transporter substrate-binding protein,K02035,peptide/nickel transport system substrate-binding protein,dppA,E,"COG0747 ABC-type dipeptide transport system, periplasmic component",R7A2020_26620,5423361,5424971,1611,1,0.126,0.041,0.055,0.048,0.12,0.039,0.047,0.039
R7A2020_26625,NE,NE,NE,NE,NA,NA,ABC transporter permease,K02033,peptide/nickel transport system permease protein,ophB,EP,Binding-protein-dependent transport system inner membrane component,R7A2020_26625,5425058,5426008,951,1,0.163,0.066,0.066,0.041,0.133,0.038,0.051,0.053
R7A2020_26630,NE,NE,NE,NE,NA,NA,ABC transporter permease,K02034,peptide/nickel transport system permease protein,dppC,EP,COG1173 ABC-type dipeptide oligopeptide nickel transport systems permease components,R7A2020_26630,5426005,5426856,852,1,0.156,0.063,0.062,0.041,0.157,0.054,0.057,0.047
R7A2020_26635,NE,NE,NE,NE,NA,NA,ABC transporter ATP-binding protein,K02032,peptide/nickel transport system ATP-binding protein,dppD,P,Belongs to the ABC transporter superfamily,R7A2020_26635,5426853,5428508,1656,1,0.138,0.054,0.053,0.035,0.141,0.048,0.048,0.038
R7A2020_26640,NE,NE,NE,NE,NA,K,Lrp/AsnC family transcriptional regulator,K15782,"Lrp/AsnC family transcriptional regulator, regulator of ectoine-degradation genes",NA,K,helix_turn_helix ASNC type,R7A2020_26640,5428524,5429000,477,-1,0.074,0.034,0.034,0.012,0.081,0.034,0.027,0.032
R7A2020_26645,NE,NE,NE,NE,NA,NA,FAD-binding oxidoreductase,NA,NA,agaE,E,FAD dependent oxidoreductase,R7A2020_26645,5429224,5430549,1326,1,0.143,0.064,0.04,0.033,0.145,0.063,0.051,0.033
R7A2020_26650,NE,NE,NE,NE,NA,NA,NAD(P)/FAD-dependent oxidoreductase,NA,NA,ooxA,C,NAD(FAD)-dependent dehydrogenases,R7A2020_26650,5430588,5431955,1368,-1,0.174,0.076,0.06,0.045,0.18,0.078,0.051,0.046
R7A2020_26655,NE,NE,NE,NE,NA,NA,(2Fe-2S)-binding protein,K22550,D-hydroxyproline dehydrogenase subunit gamma,NA,C,2Fe-2S iron-sulfur cluster binding domain,R7A2020_26655,5431952,5432254,303,-1,0.186,0.085,0.07,0.062,0.182,0.066,0.054,0.07
R7A2020_26660,NE,NE,NE,NE,NA,NA,hydantoin utilization protein B,K01474,N-methylhydantoinase B [EC:3.5.2.14],hyuB,EQ,PFAM Hydantoinase B oxoprolinase,R7A2020_26660,5432251,5434236,1986,-1,0.16,0.067,0.054,0.031,0.147,0.056,0.047,0.044
R7A2020_26665,NE,NE,NE,NE,NA,NA,hydantoinase/oxoprolinase family protein,K01473,N-methylhydantoinase A [EC:3.5.2.14],oplaH,EQ,Hydantoinase/oxoprolinase N-terminal region,R7A2020_26665,5434241,5436319,2079,-1,0.136,0.049,0.051,0.032,0.145,0.054,0.05,0.038
R7A2020_26670,NE,NE,NE,NE,NA,NA,LysR family transcriptional regulator,NA,NA,NA,K,LysR substrate binding domain,R7A2020_26670,5436409,5437314,906,-1,0.141,0.057,0.052,0.031,0.152,0.061,0.051,0.045
R7A2020_26675,NE,NE,NE,NE,NA,NA,FAD-binding oxidoreductase,K00303,"sarcosine oxidase, subunit beta [EC:1.5.3.1]",NA,E,COG0665 Glycine D-amino acid,R7A2020_26675,5437428,5438546,1119,1,0.139,0.059,0.05,0.033,0.149,0.056,0.046,0.049
R7A2020_26680,NE,NE,NE,NE,NA,NA,ABC transporter substrate-binding protein,NA,NA,NA,G,ABC-type sugar transport system periplasmic component,R7A2020_26680,5439177,5440199,1023,1,0.132,0.054,0.054,0.034,0.136,0.047,0.049,0.044
R7A2020_26685,NE,NE,NE,NE,NA,NA,ATP-binding cassette domain-containing protein,NA,NA,NA,G,"ABC-type sugar transport system, ATPase component",R7A2020_26685,5440309,5442750,2442,1,0.13,0.053,0.046,0.033,0.135,0.058,0.044,0.04
R7A2020_26690,NE,NE,NE,NE,NA,NA,ABC transporter permease,NA,NA,NA,G,Belongs to the binding-protein-dependent transport system permease family,R7A2020_26690,5442747,5443772,1026,1,0.179,0.073,0.053,0.04,0.189,0.078,0.076,0.063
R7A2020_26695,NE,NE,NE,NE,NA,NA,NAD(P)-binding domain-containing protein,K23245,D-apionate oxidoisomerase [EC:1.1.1.421],NA,S,Phosphogluconate dehydrogenase (decarboxylating) C-term,R7A2020_26695,5443878,5444705,828,1,0.155,0.068,0.062,0.028,0.13,0.052,0.052,0.02
R7A2020_26700,NE,NE,NE,NE,NA,NA,D-ribose ABC transporter substrate-binding protein,K17202,erythritol transport system substrate-binding protein,rbsB_1,G,Periplasmic binding protein-like domain,R7A2020_26700,5445006,5445947,942,1,0.126,0.052,0.046,0.029,0.14,0.062,0.034,0.034
R7A2020_26705,NE,NE,NE,NE,NA,NA,DUF2291 family protein,NA,NA,NA,S,Predicted periplasmic lipoprotein (DUF2291),R7A2020_26705,5446026,5446691,666,1,0.166,0.067,0.058,0.034,0.15,0.06,0.034,0.051
R7A2020_26710,NE,NE,NE,NE,NA,NA,sugar ABC transporter ATP-binding protein,K17204,erythritol transport system ATP-binding protein,rbsA_1,G,ATPases associated with a variety of cellular activities,R7A2020_26710,5446688,5448259,1572,1,0.142,0.064,0.052,0.035,0.129,0.052,0.035,0.038
R7A2020_26715,NE,NE,NE,NE,NA,NA,ABC transporter permease,K17203,erythritol transport system permease protein,NA,G,Belongs to the binding-protein-dependent transport system permease family,R7A2020_26715,5448252,5449316,1065,1,0.158,0.062,0.068,0.039,0.18,0.056,0.067,0.055
R7A2020_26720,NE,NE,NE,NE,NA,NA,Gfo/Idh/MocA family oxidoreductase,K23244,D-apiose dehydrogenase [EC:1.1.1.420],NA,S,"Oxidoreductase family, NAD-binding Rossmann fold",R7A2020_26720,5449319,5450353,1035,1,0.151,0.06,0.049,0.042,0.153,0.059,0.047,0.049
R7A2020_26725,NE,NE,NE,NE,NA,NA,hypothetical protein,K23246,D-apionate lactonase [EC:3.1.1.-],NA,NA,NA,R7A2020_26725,5450350,5452188,1839,1,0.156,0.068,0.056,0.041,0.164,0.068,0.05,0.058
R7A2020_26730,NE,NE,NE,NE,NA,NA,transcriptional regulator NanR,K22104,"GntR family transcriptional regulator, sialic acid-inducible nan operon repressor",fadR,K,FCD,R7A2020_26730,5452195,5452908,714,-1,0.089,0.036,0.028,0.025,0.081,0.031,0.023,0.036
R7A2020_26735,NE,NE,NE,NE,NA,NA,ribulose 1,K24268,3-oxoisoapionate-4-phosphate decarboxylase [EC:4.1.1.121],rbcL,G,Belongs to the RuBisCO large chain family,R7A2020_26735,5453091,5454341,1251,1,0.15,0.061,0.051,0.031,0.139,0.055,0.039,0.049
R7A2020_26740,NE,NE,NE,NE,NA,NA,four-carbon acid sugar kinase family protein,K23247,3-oxoisoapionate kinase [EC:2.7.1.231],NA,S,Putative nucleotide-binding of sugar-metabolising enzyme,R7A2020_26740,5454350,5455678,1329,1,0.171,0.073,0.065,0.039,0.172,0.069,0.065,0.053
R7A2020_26745,NE,NE,NE,NE,NA,NA,sn-glycerol-3-phosphate ABC transporter ATP-binding protein UgpC,K10112,multiple sugar transport system ATP-binding protein,NA,E,Part of the ABC transporter complex UgpABCE involved in sn-glycerol-3-phosphate import. Responsible for energy coupling to the transport system,ugpC,5455939,5457006,1068,-1,0.152,0.058,0.065,0.04,0.134,0.061,0.039,0.039
R7A2020_26750,NE,NE,NE,NE,NA,NA,DUF5060 domain-containing protein,NA,NA,NA,S,Domain of unknown function (DUF5060),R7A2020_26750,5457023,5458540,1518,-1,0.169,0.06,0.057,0.042,0.146,0.05,0.045,0.046
R7A2020_26755,NE,NE,NE,NE,NA,NA,carbohydrate ABC transporter permease,K10119,raffinose/stachyose/melibiose transport system permease protein,NA,G,"ABC-type sugar transport system, permease component",R7A2020_26755,5458559,5459425,867,-1,0.15,0.061,0.06,0.039,0.152,0.054,0.037,0.061
R7A2020_26760,NE,NE,NE,NE,NA,NA,sugar ABC transporter permease,K10118,raffinose/stachyose/melibiose transport system permease protein,NA,G,COG1175 ABC-type sugar transport systems permease components,R7A2020_26760,5459422,5460375,954,-1,0.17,0.069,0.06,0.037,0.164,0.064,0.058,0.059
R7A2020_26765,NE,NE,NE,NE,NA,NA,carbohydrate ABC transporter substrate-binding protein,K10117,raffinose/stachyose/melibiose transport system substrate-binding protein,NA,G,Bacterial extracellular solute-binding protein,R7A2020_26765,5460461,5461705,1245,-1,0.115,0.036,0.043,0.039,0.129,0.04,0.042,0.042
R7A2020_26770,NE,NE,NE,NE,NA,NA,GMP synthase,NA,NA,guaA,F,Catalyzes the synthesis of GMP from XMP,R7A2020_26770,5462138,5462338,201,-1,0.123,0.047,0.064,0.029,0.082,0.018,0.041,0.029
R7A2020_26775,NE,NE,NE,NE,NA,NA,LysR family transcriptional regulator,NA,NA,NA,K,"Bacterial regulatory helix-turn-helix protein, lysR family",R7A2020_26775,5462459,5463319,861,-1,0.108,0.042,0.041,0.025,0.117,0.041,0.044,0.041
R7A2020_26780,NE,NE,NE,NE,NA,NA,alpha/beta hydrolase,NA,NA,NA,S,thiolester hydrolase activity,R7A2020_26780,5463459,5464211,753,1,0.112,0.042,0.048,0.03,0.136,0.051,0.047,0.05
R7A2020_26785,NE,NE,NE,NE,NA,NA,SDR family NAD(P)-dependent oxidoreductase,NA,NA,NA,S,KR domain,R7A2020_26785,5464334,5465158,825,1,0.123,0.051,0.036,0.041,0.135,0.056,0.044,0.044
R7A2020_26790,NE,NE,NE,NE,NA,NA,alpha/beta hydrolase,K01561,haloacetate dehalogenase [EC:3.8.1.3],NA,S,Alpha/beta hydrolase family,R7A2020_26790,5465209,5466057,849,1,0.158,0.061,0.064,0.036,0.174,0.065,0.048,0.048
R7A2020_26795,NE,NE,NE,NE,NA,NA,VOC family protein,NA,NA,NA,E,Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily,R7A2020_26795,5466118,5466648,531,1,0.131,0.049,0.053,0.024,0.117,0.038,0.049,0.035
R7A2020_26800,NE,NE,NE,NE,NA,NA,hypothetical protein,NA,NA,ykpB,H,Catalyzes the NADPH-dependent reduction of ketopantoate into pantoic acid,R7A2020_26800,5466807,5467139,333,-1,0.12,0.06,0.032,0.025,0.102,0.025,0.032,0.046
R7A2020_26805,CORE-ES,CORE-ES,CORE-ES,CORE-ES,NA,F,glutamine-hydrolyzing GMP synthase,K01951,GMP synthase (glutamine-hydrolysing) [EC:6.3.5.2],guaA,F,Catalyzes the synthesis of GMP from XMP,guaA,5467136,5468698,1563,-1,0.003,0.001,0.002,0,0.005,0.004,0,0
R7A2020_26810,NE,NE,NE,NE,NA,NA,winged helix-turn-helix transcriptional regulator,NA,NA,NA,K,Winged helix DNA-binding domain,R7A2020_26810,5468755,5469237,483,-1,0.144,0.056,0.046,0.049,0.178,0.073,0.046,0.049
R7A2020_26815,NE,NE,NE,NE,NA,NA,hypothetical protein,NA,NA,NA,NA,NA,R7A2020_26815,5469322,5469639,318,1,0.158,0.048,0.048,0.055,0.118,0.055,0.04,0.033
R7A2020_26820,NE,NE,NE,NE,NA,NA,5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase,NA,NA,pfs,F,5'-methylthioadenosine S-adenosylhomocysteine nucleosidase,R7A2020_26820,5469651,5470286,636,-1,0.137,0.065,0.048,0.041,0.14,0.054,0.05,0.035
R7A2020_26825,NE,NE,NE,NE,NA,NA,PaaI family thioesterase,NA,NA,NA,Q,protein possibly involved in aromatic compounds catabolism,R7A2020_26825,5470286,5470744,459,-1,0.184,0.077,0.079,0.048,0.151,0.071,0.048,0.043
R7A2020_26830,NE,NE,NE,NE,NA,NA,RsmB/NOP family class I SAM-dependent RNA methyltransferase,K03500,16S rRNA (cytosine967-C5)-methyltransferase [EC:2.1.1.176],sun,J,Belongs to the class I-like SAM-binding methyltransferase superfamily. RsmB NOP family,R7A2020_26830,5470870,5472159,1290,-1,0.139,0.055,0.051,0.031,0.154,0.063,0.041,0.048
R7A2020_26835,NE,NE,NE,NE,NA,NA,MIP family channel protein,K06188,aquaporin Z,aqpZ,G,Belongs to the MIP aquaporin (TC 1.A.8) family,R7A2020_26835,5472462,5473139,678,1,0.137,0.064,0.031,0.031,0.173,0.067,0.052,0.054
R7A2020_26840,NE,NE,NE,NE,NA,NA,catalase/peroxidase HPI,K03782,catalase-peroxidase [EC:1.11.1.21],katG,P,Bifunctional enzyme with both catalase and broad- spectrum peroxidase activity,katG,5473210,5475408,2199,-1,0.157,0.069,0.054,0.031,0.17,0.079,0.051,0.051
R7A2020_26845,NE,NE,NE,NE,NA,NA,hydrogen peroxide-inducible genes activator,K04761,"LysR family transcriptional regulator, hydrogen peroxide-inducible genes activator",oxyR,K,transcriptional regulator,R7A2020_26845,5475562,5476470,909,1,0.152,0.066,0.053,0.031,0.165,0.068,0.059,0.037
R7A2020_26850,NE,NE,NE,NE,NA,NA,hypothetical protein,NA,NA,NA,NA,NA,R7A2020_26850,5476561,5477085,525,-1,0.145,0.06,0.065,0.049,0.136,0.036,0.067,0.06
R7A2020_26855,NE,NE,NE,NE,NA,NA,class I SAM-dependent methyltransferase,K18897,sarcosine/dimethylglycine N-methyltransferase [EC:2.1.1.157],NA,Q,ubiE/COQ5 methyltransferase family,R7A2020_26855,5477098,5477928,831,-1,0.13,0.054,0.045,0.04,0.141,0.044,0.048,0.057
R7A2020_26860,NE,NE,NE,NE,NA,NA,LysR family transcriptional regulator,K03566,"LysR family transcriptional regulator, glycine cleavage system transcriptional activator",NA,K,transcriptional regulator,R7A2020_26860,5478006,5478914,909,1,0.163,0.078,0.053,0.043,0.204,0.097,0.075,0.057
R7A2020_26865,NE,TB-GD,NE,WT-GR-ES,NA,HYP,hypothetical protein,NA,NA,NA,NA,NA,R7A2020_26865,5478898,5479110,213,-1,0.06,0.005,0.044,0.005,0.126,0.027,0.049,0.049
R7A2020_26870,NE,NE,NE,NE,NA,NA,calcium:proton antiporter,K07300,Ca2+:H+ antiporter,NA,P,Sodium calcium exchanger membrane,R7A2020_26870,5479137,5480240,1104,-1,0.142,0.039,0.054,0.044,0.144,0.04,0.058,0.046
R7A2020_26875,NE,NE,NE,NE,NA,NA,AMP-binding protein,K00666,fatty-acyl-CoA synthase [EC:6.2.1.-],acsf,IQ,AMP-binding enzyme C-terminal domain,R7A2020_26875,5480310,5482082,1773,-1,0.16,0.064,0.062,0.045,0.172,0.07,0.063,0.056
R7A2020_26880,NE,NE,TY-ES,GR-ES,NA,E,ATP phosphoribosyltransferase,K00765,ATP phosphoribosyltransferase [EC:2.4.2.17],hisG,E,Catalyzes the condensation of ATP and 5-phosphoribose 1- diphosphate to form N'-(5'-phosphoribosyl)-ATP (PR-ATP). Has a crucial role in the pathway because the rate of histidine biosynthesis seems to be controlled primarily by regulation of HisG enzymatic activity,R7A2020_26880,5482185,5482883,699,-1,0.077,0.047,0.003,0,0.079,0.052,0.007,0
R7A2020_26885,NE,NE,TY-ES,GR-ES,NA,E,ATP phosphoribosyltransferase regulatory subunit,K02502,ATP phosphoribosyltransferase regulatory subunit,hisZ,E,Required for the first step of histidine biosynthesis. May allow the feedback regulation of ATP phosphoribosyltransferase activity by histidine,R7A2020_26885,5482880,5484001,1122,-1,0.105,0.067,0.002,0,0.121,0.07,0.006,0.001
R7A2020_26890,CORE-ES,CORE-ES,CORE-ES,CORE-ES,NA,J,histidine--tRNA ligase,K01892,histidyl-tRNA synthetase [EC:6.1.1.21],hisS,J,histidyl-tRNA synthetase,R7A2020_26890,5484183,5485679,1497,-1,0,0,0,0,0,0,0,0
R7A2020_26895,NE,NE,NE,NE,NA,NA,hypothetical protein,NA,NA,NA,NA,NA,R7A2020_26895,5485929,5486180,252,1,0.172,0.056,0.056,0.047,0.144,0.079,0.042,0.037
R7A2020_26900,NE,NE,NE,NE,NA,NA,hypothetical protein,NA,NA,NA,NA,NA,R7A2020_26900,5486229,5486618,390,1,0.16,0.072,0.039,0.033,0.172,0.066,0.072,0.039
R7A2020_26905,NE,NE,NE,NE,NA,NA,DNA-3-methyladenine glycosylase I,K01246,DNA-3-methyladenine glycosylase I [EC:3.2.2.20],tag,L,3-methyladenine DNA glycosylase,R7A2020_26905,5486765,5487403,639,-1,0.114,0.059,0.046,0.037,0.13,0.053,0.057,0.05
R7A2020_26910,NE,NE,NE,NE,NA,NA,L,NA,NA,NA,S,ErfK YbiS YcfS YnhG family protein,R7A2020_26910,5487618,5488349,732,1,0.173,0.075,0.061,0.037,0.162,0.066,0.055,0.05
R7A2020_26915,NE,NE,NE,NE,NA,NA,bifunctional 5,NA,NA,folD,E,"Catalyzes the oxidation of 5,10- methylenetetrahydrofolate to 5,10-methenyltetrahydrofolate and then the hydrolysis of 5,10-methenyltetrahydrofolate to 10- formyltetrahydrofolate",R7A2020_26915,5488614,5489534,921,1,0.207,0.089,0.064,0.05,0.215,0.107,0.064,0.057
R7A2020_26920,NE,NE,NE,NE,NA,NA,hypothetical protein,NA,NA,NA,NA,NA,R7A2020_26920,5489544,5490545,1002,-1,0.093,0.031,0.036,0.026,0.102,0.046,0.043,0.033
R7A2020_26925,NE,NE,NE,NE,NA,NA,glycolate oxidase subunit GlcF,K11473,glycolate oxidase iron-sulfur subunit,glcF,C,4Fe-4S dicluster domain,glcF,5490577,5491875,1299,-1,0.212,0.105,0.074,0.053,0.227,0.095,0.075,0.071
R7A2020_26930,NE,NE,NE,NE,NA,NA,FAD-binding protein,K11472,glycolate oxidase FAD binding subunit,glcE,C,FAD linked,R7A2020_26930,5491886,5493091,1206,-1,0.193,0.087,0.061,0.039,0.184,0.085,0.057,0.055
R7A2020_26935,NE,NE,NE,NE,NA,NA,ASCH domain-containing protein,NA,NA,nagC,K,iron dependent repressor,R7A2020_26935,5493088,5493672,585,-1,0.141,0.046,0.042,0.052,0.147,0.056,0.04,0.048
R7A2020_26940,NE,NE,NE,NE,NA,NA,FAD-binding protein,K00104,glycolate oxidase [EC:1.1.3.15],glcD,C,Glycolate oxidase subunit GlcD,R7A2020_26940,5493677,5495173,1497,-1,0.172,0.076,0.051,0.038,0.161,0.073,0.042,0.043
