# gene name           KO     thrshld  score   E-value KO definition
#-------------------- ------ ------- ------ --------- ---------------------
* R7A2020_26330       K01070  144.50  460.7    2e-138 S-formylglutathione hydrolase [EC:3.1.2.12]
* R7A2020_26335       K00108  445.17  713.7  1.7e-214 choline dehydrogenase [EC:1.1.99.1]
* R7A2020_26345       K02026  263.20  297.1   5.6e-89 multiple sugar transport system permease protein
* R7A2020_26350       K02025  267.83  304.3   4.1e-91 multiple sugar transport system permease protein
* R7A2020_26355       K02027  183.17  199.6   3.5e-59 multiple sugar transport system substrate-binding protein
* R7A2020_26385       K08234   87.93  140.0     3e-41 glyoxylase I family protein
* R7A2020_26390       K01684  348.57  399.9  5.4e-120 galactonate dehydratase [EC:4.2.1.6]
* R7A2020_26405       K02056  516.00  576.6  2.1e-173 simple sugar transport system ATP-binding protein [EC:7.5.2.-]
* R7A2020_26405       K10822  138.23  145.3   6.4e-43 nonpolar-amino-acid-transporting ATPase [EC:7.4.2.2]
* R7A2020_26415       K19776  213.03  261.8   1.6e-78 GntR family transcriptional regulator, galactonate operon transcriptional repressor
* R7A2020_26415       K05799  149.57  153.4   4.8e-45 GntR family transcriptional regulator, transcriptional repressor for pyruvate dehydrogenase complex
* R7A2020_26440       K09136   67.90  192.5   4.4e-57 ribosomal protein S12 methylthiotransferase accessory factor
* R7A2020_26460       K01457  328.63  800.8  4.8e-241 allophanate hydrolase [EC:3.5.1.54]
* R7A2020_26460       K01426  221.77  263.1   2.3e-78 amidase [EC:3.5.1.4]
* R7A2020_26470       K23359  220.43  247.2   1.1e-73 biuret amidohydrolase [EC:3.5.1.84]
* R7A2020_26475       K23537  586.30  627.8  1.1e-188 general nucleoside transport system ATP-binding protein
* R7A2020_26480       K23359  220.43  315.5   1.8e-94 biuret amidohydrolase [EC:3.5.1.84]
* R7A2020_26485       K23536  179.73  283.4   7.2e-85 general nucleoside transport system permease protein
* R7A2020_26490       K23535  248.07  291.8     3e-87 general nucleoside transport system permease protein
* R7A2020_26495       K07335  152.40  214.8   8.5e-64 basic membrane protein A and related proteins
* R7A2020_26505       K16137  116.90  130.0   6.5e-38 TetR/AcrR family transcriptional regulator, transcriptional repressor for nem operon
* R7A2020_26510       K00799   63.00  100.3   5.2e-29 glutathione S-transferase [EC:2.5.1.18]
* R7A2020_26515       K00433  201.00  396.3  5.9e-119 non-heme chloroperoxidase [EC:1.11.1.10]
* R7A2020_26530       K19267  133.97  245.5   3.6e-73 NAD(P)H dehydrogenase (quinone) [EC:1.6.5.2]
* R7A2020_26535       K00375  397.60  508.0  1.4e-152 GntR family transcriptional regulator / MocR family aminotransferase
* R7A2020_26550       K16565   35.87   68.9   1.4e-19 exopolysaccharide production repressor protein
* R7A2020_26565       K01438  287.60  389.5  1.1e-116 acetylornithine deacetylase [EC:3.5.1.16]
* R7A2020_26570       K12972  307.57  399.4  4.7e-120 glyoxylate/hydroxypyruvate reductase [EC:1.1.1.79 1.1.1.81]
* R7A2020_26575       K06995   49.23  105.3     1e-30 uncharacterized protein
* R7A2020_26585       K07246  465.07  532.0  2.5e-160 tartrate dehydrogenase/decarboxylase / D-malate dehydrogenase [EC:1.1.1.93 4.1.1.73 1.1.1.83]
* R7A2020_26590       K00135  575.97  758.7  2.1e-228 succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.79 1.2.1.20]
* R7A2020_26595       K09471  310.60  383.8  4.9e-115 gamma-glutamylputrescine oxidase [EC:1.4.3.-]
* R7A2020_26600       K01560  136.97  199.3   3.5e-59 2-haloacid dehalogenase [EC:3.8.1.2]
* R7A2020_26610       K12256  586.23  608.4  2.4e-183 putrescine---pyruvate transaminase [EC:2.6.1.113]
* R7A2020_26620       K02035  240.93  304.9   4.2e-91 peptide/nickel transport system substrate-binding protein
* R7A2020_26625       K02033  209.53  332.7   1.4e-99 peptide/nickel transport system permease protein
* R7A2020_26630       K02034  190.03  234.1   1.1e-69 peptide/nickel transport system permease protein
* R7A2020_26635       K02032  384.37  662.9    2e-199 peptide/nickel transport system ATP-binding protein
* R7A2020_26635       K02031  418.00  652.4  4.2e-196 peptide/nickel transport system ATP-binding protein
* R7A2020_26640       K15782  166.60  186.9     6e-56 Lrp/AsnC family transcriptional regulator, regulator of ectoine-degradation genes
* R7A2020_26640       K03719  132.03  169.6   2.9e-50 Lrp/AsnC family transcriptional regulator, leucine-responsive regulatory protein
* R7A2020_26655       K22550   98.53  104.7   1.1e-30 D-hydroxyproline dehydrogenase subunit gamma
* R7A2020_26660       K01474  599.33  614.7  7.2e-185 N-methylhydantoinase B [EC:3.5.2.14]
* R7A2020_26665       K01473  641.23  778.9  1.8e-234 N-methylhydantoinase A [EC:3.5.2.14]
* R7A2020_26675       K00303  311.43  355.2  1.8e-106 sarcosine oxidase, subunit beta [EC:1.5.3.1]
* R7A2020_26695       K23245  307.07  446.2  1.4e-134 D-apionate oxidoisomerase [EC:1.1.1.421]
* R7A2020_26700       K17202  380.53  506.7  6.4e-153 erythritol transport system substrate-binding protein
* R7A2020_26700       K10439  188.77  225.8   4.3e-67 ribose transport system substrate-binding protein
* R7A2020_26710       K17204  625.10  776.2  3.3e-234 erythritol transport system ATP-binding protein
* R7A2020_26710       K02056  516.00  553.8  1.7e-166 simple sugar transport system ATP-binding protein [EC:7.5.2.-]
* R7A2020_26710       K10822  138.23  142.5   4.5e-42 nonpolar-amino-acid-transporting ATPase [EC:7.4.2.2]
* R7A2020_26715       K17203  425.70  524.3  4.1e-158 erythritol transport system permease protein
* R7A2020_26715       K10440  328.70  354.0  4.8e-106 ribose transport system permease protein
* R7A2020_26715       K02057  292.23  303.6   6.4e-91 simple sugar transport system permease protein
* R7A2020_26720       K23244  281.60  494.2  7.8e-149 D-apiose dehydrogenase [EC:1.1.1.420]
* R7A2020_26725       K23246  205.67  802.7  9.9e-242 D-apionate lactonase [EC:3.1.1.-]
* R7A2020_26730       K22104  222.23  301.9   1.3e-90 GntR family transcriptional regulator, sialic acid-inducible nan operon repressor
* R7A2020_26730       K05799  149.57  180.7   2.6e-53 GntR family transcriptional regulator, transcriptional repressor for pyruvate dehydrogenase complex
* R7A2020_26735       K24268  717.40  820.5  8.8e-248 3-oxoisoapionate-4-phosphate decarboxylase [EC:4.1.1.121]
* R7A2020_26735       K01601  400.53  419.7  7.1e-126 ribulose-bisphosphate carboxylase large chain [EC:4.1.1.39]
* R7A2020_26740       K23247  350.73  564.9  3.6e-170 3-oxoisoapionate kinase [EC:2.7.1.231]
* R7A2020_26745       K10112  535.50  558.7  4.6e-168 multiple sugar transport system ATP-binding protein
* R7A2020_26755       K10119  281.53  320.2   3.6e-96 raffinose/stachyose/melibiose transport system permease protein
* R7A2020_26755       K02026  263.20  293.9   5.3e-88 multiple sugar transport system permease protein
* R7A2020_26760       K10118  329.97  370.1  4.4e-111 raffinose/stachyose/melibiose transport system permease protein
* R7A2020_26760       K02025  267.83  334.1  3.5e-100 multiple sugar transport system permease protein
* R7A2020_26765       K10117  229.07  244.5   9.6e-73 raffinose/stachyose/melibiose transport system substrate-binding protein
* R7A2020_26765       K02027  183.17  187.9   1.3e-55 multiple sugar transport system substrate-binding protein
* R7A2020_26790       K01561  216.90  246.3   1.7e-73 haloacetate dehalogenase [EC:3.8.1.3]
* R7A2020_26805       K01951  104.70  711.4  3.1e-214 GMP synthase (glutamine-hydrolysing) [EC:6.3.5.2]
* R7A2020_26830       K03500  301.97  349.3    2e-104 16S rRNA (cytosine967-C5)-methyltransferase [EC:2.1.1.176]
* R7A2020_26835       K06188  247.10  283.7   5.2e-85 aquaporin Z
* R7A2020_26840       K03782  450.60 1467.1         0 catalase-peroxidase [EC:1.11.1.21]
* R7A2020_26845       K04761  273.23  353.9  4.1e-106 LysR family transcriptional regulator, hydrogen peroxide-inducible genes activator
* R7A2020_26855       K18897  234.40  288.2   2.4e-86 sarcosine/dimethylglycine N-methyltransferase [EC:2.1.1.157]
* R7A2020_26860       K03566  200.83  203.9   1.4e-60 LysR family transcriptional regulator, glycine cleavage system transcriptional activator
* R7A2020_26870       K07300   80.87  112.3   6.1e-33 Ca2+:H+ antiporter
* R7A2020_26875       K00666  566.13  667.6  1.1e-200 fatty-acyl-CoA synthase [EC:6.2.1.-]
* R7A2020_26880       K00765  130.17  225.8   3.4e-67 ATP phosphoribosyltransferase [EC:2.4.2.17]
* R7A2020_26885       K02502  237.90  250.6     1e-74 ATP phosphoribosyltransferase regulatory subunit
* R7A2020_26890       K01892  272.87  512.4  5.3e-154 histidyl-tRNA synthetase [EC:6.1.1.21]
* R7A2020_26905       K01246   44.53  295.5   1.6e-88 DNA-3-methyladenine glycosylase I [EC:3.2.2.20]
* R7A2020_26925       K11473  297.73  572.4  3.2e-172 glycolate oxidase iron-sulfur subunit
* R7A2020_26930       K11472  267.67  440.9  2.4e-132 glycolate oxidase FAD binding subunit
* R7A2020_26940       K00104  501.77  651.7  4.1e-196 glycolate oxidase [EC:1.1.3.15]
* R7A2020_26950       K05799  149.57  228.5     8e-68 GntR family transcriptional regulator, transcriptional repressor for pyruvate dehydrogenase complex
* R7A2020_26955       K00101  455.57  512.0  8.1e-154 L-lactate dehydrogenase (cytochrome) [EC:1.1.2.3]
* R7A2020_26960       K07313  143.37  218.4   4.3e-65 serine/threonine protein phosphatase 1 [EC:3.1.3.16]
* R7A2020_26970       K01951  104.70  109.8   4.1e-32 GMP synthase (glutamine-hydrolysing) [EC:6.3.5.2]
* R7A2020_26980       K09761   53.17  245.9   1.5e-73 16S rRNA (uracil1498-N3)-methyltransferase [EC:2.1.1.193]
* R7A2020_26985       K01919   58.53  472.1  1.1e-141 glutamate--cysteine ligase [EC:6.3.2.2]
* R7A2020_27005       K03601   64.23  558.1  8.6e-168 exodeoxyribonuclease VII large subunit [EC:3.1.11.6]
* R7A2020_27010       K01266   37.00  423.4  4.5e-127 D-aminopeptidase [EC:3.4.11.19]
* R7A2020_27075       K01318  123.97  158.5   1.1e-46 glutamyl endopeptidase [EC:3.4.21.19]
* R7A2020_27095       K03088   66.33  107.9   2.7e-31 RNA polymerase sigma-70 factor, ECF subfamily
* R7A2020_27100       K01686  145.77  464.8  1.2e-139 mannonate dehydratase [EC:4.2.1.8]
* R7A2020_27130       K22223  154.37  167.5   1.1e-49 phosphoglycolate phosphatase [EC:3.1.3.18]
* R7A2020_27140       K06934   43.17  130.2   2.7e-38 uncharacterized protein
* R7A2020_27145       K09003  294.70  627.3  3.4e-189 uncharacterized protein
* R7A2020_27155       K15012  141.87  239.0     2e-71 two-component system, response regulator RegA
* R7A2020_27160       K15011  205.03  508.7  5.4e-153 two-component system, sensor histidine kinase RegB [EC:2.7.13.3]
* R7A2020_27165       K14998   40.73  236.6   2.2e-70 surfeit locus 1 family protein
* R7A2020_27170       K02300   80.57  183.6   1.2e-54 cytochrome o ubiquinol oxidase subunit IV
* R7A2020_27175       K02299  259.30  334.8  1.9e-100 cytochrome o ubiquinol oxidase subunit III
* R7A2020_27180       K02298  968.07 1174.1         0 cytochrome o ubiquinol oxidase subunit I [EC:7.1.1.3]
* R7A2020_27185       K02297  321.93  494.9  7.1e-149 cytochrome o ubiquinol oxidase subunit II [EC:7.1.1.3]
* R7A2020_27195       K23256  475.17  535.8  1.3e-161 NADPH-dependent curcumin reductase [EC:1.3.1.-]
* R7A2020_27215       K02453  286.10  514.1  2.5e-154 general secretion pathway protein D
* R7A2020_27225       K02456   77.33  148.7   9.6e-44 general secretion pathway protein G
* R7A2020_27230       K02459   59.10   76.9   6.9e-22 general secretion pathway protein J
* R7A2020_27255       K02460   48.63   81.5   2.9e-23 general secretion pathway protein K
* R7A2020_27280       K22548  476.87  513.3    8e-155 trans-L-3-hydroxyproline dehydratase [EC:4.2.1.77]
* R7A2020_27285       K21062  285.23  324.1   2.1e-97 1-pyrroline-4-hydroxy-2-carboxylate deaminase [EC:3.5.4.22]
* R7A2020_27290       K18609  375.50  466.3  6.8e-141 pyridoxal 4-dehydrogenase [EC:1.1.1.107]
* R7A2020_27290       K00059  270.10  273.2     1e-81 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]
* R7A2020_27295       K18608  593.57  745.2  4.4e-225 pyridoxamine---pyruvate transaminase [EC:2.6.1.30]
* R7A2020_27300       K18610  533.27  600.5  1.3e-181 4-pyridoxolactonase [EC:3.1.1.27]
* R7A2020_27300       K13075  117.23  202.1     4e-60 N-acyl homoserine lactone hydrolase [EC:3.1.1.81]
* R7A2020_27305       K23536  179.73  308.1   2.2e-92 general nucleoside transport system permease protein
* R7A2020_27310       K23535  248.07  290.1   9.9e-87 general nucleoside transport system permease protein
* R7A2020_27315       K23537  586.30  614.7  9.6e-185 general nucleoside transport system ATP-binding protein
* R7A2020_27315       K10822  138.23  149.2   4.1e-44 nonpolar-amino-acid-transporting ATPase [EC:7.4.2.2]
* R7A2020_27320       K07335  152.40  201.0   1.3e-59 basic membrane protein A and related proteins
* R7A2020_27330       K02051  108.47  172.2   8.3e-51 NitT/TauT family transport system substrate-binding protein
* R7A2020_27335       K02050  136.63  224.2     9e-67 NitT/TauT family transport system permease protein
* R7A2020_27340       K02049  333.83  340.8  4.2e-102 NitT/TauT family transport system ATP-binding protein
* R7A2020_27345       K18612  569.37  642.9  2.3e-194 5-formyl-3-hydroxy-2-methylpyridine 4-carboxylic acid 5-dehydrogenase [EC:1.2.1.100]
* R7A2020_27350       K18611  899.77 1096.4         0 4-pyridoxate dehydrogenase [EC:1.1.99.42]
* R7A2020_27350       K00108  445.17  717.8  9.7e-216 choline dehydrogenase [EC:1.1.99.1]
* R7A2020_27355       K18613  498.00  526.4  1.9e-159 3-hydroxy-2-methylpyridine-4,5-dicarboxylate 4-decarboxylase [EC:4.1.1.51]
* R7A2020_27370       K18071  579.37  728.6  3.4e-220 2-methyl-3-hydroxypyridine 5-carboxylic acid dioxygenase [EC:1.14.13.242]
* R7A2020_27375       K18614  356.73  473.3  6.1e-143 2-(acetamidomethylene)succinate hydrolase [EC:3.5.1.29]
* R7A2020_27380       K05799  149.57  151.8   1.5e-44 GntR family transcriptional regulator, transcriptional repressor for pyruvate dehydrogenase complex
* R7A2020_27385       K18607  721.40  937.8  5.7e-283 pyridoxine 4-oxidase [EC:1.1.3.12]
* R7A2020_27385       K00108  445.17  502.4  1.1e-150 choline dehydrogenase [EC:1.1.99.1]
* R7A2020_27390       K14347  133.53  367.8  2.9e-110 solute carrier family 10 (sodium/bile acid cotransporter), member 7
* R7A2020_27400       K22293  172.73  255.3     3e-76 GntR family transcriptional regulator, rspAB operon transcriptional repressor
* R7A2020_27410       K01476  192.33  316.0   1.5e-94 arginase [EC:3.5.3.1]
* R7A2020_27415       K01750  355.27  514.5    7e-155 ornithine cyclodeaminase [EC:4.3.1.12]
* R7A2020_27420       K00820  180.57  775.5  1.7e-233 glutamine---fructose-6-phosphate transaminase (isomerizing) [EC:2.6.1.16]
* R7A2020_27435       K12539  756.90  794.2  2.4e-239 ATP-binding cassette, subfamily C, bacterial PrsD
* R7A2020_27445       K01991   73.00   99.6   6.7e-29 polysaccharide biosynthesis/export protein
* R7A2020_27470       K21210  249.80  331.5  8.1e-100 NDP-mannose synthase
* R7A2020_27490       K08679  372.00  538.2  9.3e-162 UDP-glucuronate 4-epimerase [EC:5.1.3.6]
* R7A2020_27505       K01953  101.93  567.1  2.9e-170 asparagine synthase (glutamine-hydrolysing) [EC:6.3.5.4]
* R7A2020_27525       K01406   57.97   94.3     3e-27 serralysin [EC:3.4.24.40]
* R7A2020_27550       K01953  101.93  506.3  7.1e-152 asparagine synthase (glutamine-hydrolysing) [EC:6.3.5.4]
* R7A2020_27580       K04062   41.33   45.3   2.8e-12 osmotically inducible lipoprotein OsmB
* R7A2020_27590       K03758  370.13  680.1  1.1e-204 arginine:ornithine antiporter / lysine permease
* R7A2020_27595       K03758  370.13  636.3    2e-191 arginine:ornithine antiporter / lysine permease
* R7A2020_27600       K01478  131.90  516.5  2.3e-155 arginine deiminase [EC:3.5.3.6]
* R7A2020_27605       K21908   31.03   79.0   1.3e-22 membrane protein HdeD
* R7A2020_27610       K03585  256.03  331.7   3.1e-99 membrane fusion protein, multidrug efflux system
* R7A2020_27620       K21908   31.03   69.2   1.3e-19 membrane protein HdeD
* R7A2020_27625       K14063  145.47  174.6   1.4e-51 AraC family transcriptional regulator, positive regulator of tynA and feaB
* R7A2020_27630       K11744  221.00  289.2   2.2e-86 AI-2 transport protein TqsA
* R7A2020_27645       K01699  844.50  905.4  4.3e-273 propanediol dehydratase large subunit [EC:4.2.1.28]
* R7A2020_27665       K00059  270.10  280.0   9.1e-84 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]
* R7A2020_27700       K14063  145.47  152.1   9.5e-45 AraC family transcriptional regulator, positive regulator of tynA and feaB
* R7A2020_27705       K21023  318.10  557.7    2e-167 diguanylate cyclase [EC:2.7.7.65]
* R7A2020_27720       K07315  148.70  250.3     1e-74 phosphoserine phosphatase RsbU/P [EC:3.1.3.3]
* R7A2020_27745       K11936  250.93  307.9   3.7e-92 poly-beta-1,6-N-acetyl-D-glucosamine synthase [EC:2.4.1.-]
* R7A2020_27775       K07005   49.40   97.7   3.3e-28 uncharacterized protein
* R7A2020_27785       K07124  229.30  274.8     4e-82 uncharacterized protein
* R7A2020_27805       K21159  434.97  456.3    5e-137 epoxide hydrolase
* R7A2020_27815       K04063   56.20  161.2     1e-47 lipoyl-dependent peroxiredoxin [EC:1.11.1.28]
* R7A2020_27830       K02032  384.37  438.0  2.2e-131 peptide/nickel transport system ATP-binding protein
* R7A2020_27835       K02031  418.00  462.4  1.2e-138 peptide/nickel transport system ATP-binding protein
* R7A2020_27840       K02034  190.03  360.8  4.6e-108 peptide/nickel transport system permease protein
* R7A2020_27845       K02033  209.53  381.7    2e-114 peptide/nickel transport system permease protein
* R7A2020_27855       K02035  240.93  370.2  7.2e-111 peptide/nickel transport system substrate-binding protein
* R7A2020_27865       K19746  274.53  516.3  2.2e-155 D-arginine dehydrogenase [EC:1.4.99.6]
* R7A2020_27870       K01753   94.20  161.0   1.5e-47 D-serine dehydratase [EC:4.3.1.18]
* R7A2020_27885       K16203  117.87  270.0   7.7e-81 D-amino peptidase [EC:3.4.11.-]
* R7A2020_27900       K09702   64.00  130.6   2.4e-38 uncharacterized protein
* R7A2020_27905       K06889  119.73  125.0   1.4e-36 uncharacterized protein
* R7A2020_27910       K00108  445.17  660.8  1.7e-198 choline dehydrogenase [EC:1.1.99.1]
* R7A2020_27925       K17317  290.60  414.1  9.7e-125 glucose/mannose transport system permease protein
* R7A2020_27930       K17316  313.03  418.6  4.9e-126 glucose/mannose transport system permease protein
* R7A2020_27935       K17315  251.87  416.1  9.2e-125 glucose/mannose transport system substrate-binding protein
* R7A2020_27940       K15509  511.90  704.6  1.7e-212 sulfopropanediol 3-dehydrogenase [EC:1.1.1.308]
* R7A2020_27945       K01652  458.50  545.6  5.8e-164 acetolactate synthase I/II/III large subunit [EC:2.2.1.6]
* R7A2020_27990       K00138  730.70  985.1  2.2e-297 aldehyde dehydrogenase [EC:1.2.1.-]
* R7A2020_27995       K09959   45.97  187.5   7.2e-56 uncharacterized protein
* R7A2020_28005       K02495  294.30  422.1    1e-126 oxygen-independent coproporphyrinogen III oxidase [EC:1.3.98.3]
* R7A2020_28010       K01420  197.27  215.5   3.7e-64 CRP/FNR family transcriptional regulator, anaerobic regulatory protein
* R7A2020_28020       K00404  687.57  798.3  9.2e-241 cytochrome c oxidase cbb3-type subunit I [EC:7.1.1.9]
* R7A2020_28025       K00405  274.70  311.2   1.8e-93 cytochrome c oxidase cbb3-type subunit II
* R7A2020_28030       K00407   22.17   49.2   1.6e-13 cytochrome c oxidase cbb3-type subunit IV
* R7A2020_28035       K00406   98.97  320.1   1.1e-95 cytochrome c oxidase cbb3-type subunit III
* R7A2020_28050       K01533  733.53  826.7  7.9e-249 P-type Cu2+ transporter [EC:7.2.2.9]
* R7A2020_28060       K22736   33.20  245.0   5.1e-73 vacuolar iron transporter family protein
* R7A2020_28070       K03734   42.23  189.4   3.9e-56 FAD:protein FMN transferase [EC:2.7.1.180]
* R7A2020_28080       K07637  239.37  294.2   5.4e-88 two-component system, OmpR family, sensor histidine kinase PhoQ [EC:2.7.13.3]
* R7A2020_28120       K01531  717.53 1129.3         0 P-type Mg2+ transporter [EC:7.2.2.14]
* R7A2020_28130       K14986  297.83  578.5  5.6e-174 two-component system, LuxR family, sensor kinase FixL [EC:2.7.13.3]
* R7A2020_28135       K14987  258.73  312.7   5.8e-94 two-component system, LuxR family, response regulator FixJ
* R7A2020_28150       K00643  414.10  697.0  8.5e-210 5-aminolevulinate synthase [EC:2.3.1.37]
* R7A2020_28160       K07100   61.10  270.9   9.4e-81 putative phosphoribosyl transferase
* R7A2020_28165       K07005   49.40   98.9   1.4e-28 uncharacterized protein
* R7A2020_28180       K07028  171.27  593.6  1.8e-178 uncharacterized protein
* R7A2020_28185       K09181  785.23 1146.8         0 acetyltransferase
* R7A2020_28185       K24012  631.60  713.8  1.5e-214 acetate---CoA ligase (ADP-forming) [EC:6.2.1.13]
* R7A2020_28195       K03672  157.17  199.7   9.3e-60 thioredoxin 2 [EC:1.8.1.8]
* R7A2020_28195       K03671  109.53  110.9   3.6e-32 thioredoxin 1
* R7A2020_28210       K00355  109.87  140.1   3.9e-41 NAD(P)H dehydrogenase (quinone) [EC:1.6.5.2]
* R7A2020_28230       K12132  226.33  227.5   1.1e-67 eukaryotic-like serine/threonine-protein kinase [EC:2.7.11.1]
* R7A2020_28240       K16565   35.87   75.5   1.3e-21 exopolysaccharide production repressor protein
* R7A2020_28245       K15861  225.63  263.8   4.1e-79 CRP/FNR family transcriptional regulator, nitrogen fixation regulation protein
* R7A2020_28255       K00925  124.13  491.0  2.2e-147 acetate kinase [EC:2.7.2.1]
* R7A2020_28260       K01621  275.83 1504.0         0 xylulose-5-phosphate/fructose-6-phosphate phosphoketolase [EC:4.1.2.9 4.1.2.22]
* R7A2020_28265       K07576  452.43  598.2  7.3e-180 metallo-beta-lactamase family protein
* R7A2020_28290       K01907  522.47  973.9  1.4e-293 acetoacetyl-CoA synthetase [EC:6.2.1.16]
* R7A2020_28300       K11074  326.07  416.3  1.7e-125 putrescine transport system permease protein
* R7A2020_28300       K11070  282.43  352.2  1.4e-105 spermidine/putrescine transport system permease protein
* R7A2020_28305       K11075  335.43  473.6  9.3e-143 putrescine transport system permease protein
* R7A2020_28305       K11071  283.03  334.6  2.8e-100 spermidine/putrescine transport system permease protein
* R7A2020_28310       K11076  484.07  608.3  1.3e-183 putrescine transport system ATP-binding protein [EC:7.6.2.16]
* R7A2020_28310       K11072  493.77  515.1  7.5e-155 spermidine/putrescine transport system ATP-binding protein [EC:7.6.2.11]
* R7A2020_28310       K02052  491.23  495.7  9.9e-149 putative spermidine/putrescine transport system ATP-binding protein
* R7A2020_28310       K02010  441.03  442.4  1.1e-132 iron(III) transport system ATP-binding protein [EC:7.2.2.7]
* R7A2020_28315       K11073  378.67  584.5  2.9e-176 putrescine transport system substrate-binding protein
* R7A2020_28315       K11069  348.60  356.0  1.1e-106 spermidine/putrescine transport system substrate-binding protein
* R7A2020_28325       K21686  364.30  396.0  9.8e-119 XRE family transcriptional regulator, fatty acid utilization regulator
* R7A2020_28330       K01637  203.70  743.1  1.2e-223 isocitrate lyase [EC:4.1.3.1]
* R7A2020_28350       K01915   40.23  339.8  1.1e-101 glutamine synthetase [EC:6.3.1.2]
* R7A2020_28355       K09471  310.60  544.0  1.6e-163 gamma-glutamylputrescine oxidase [EC:1.4.3.-]
* R7A2020_28370       K00036  377.67  638.9  2.9e-192 glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]
* R7A2020_28375       K01057  115.63  175.7   6.8e-52 6-phosphogluconolactonase [EC:3.1.1.31]
* R7A2020_28380       K01690  572.47 1024.2         0 phosphogluconate dehydratase [EC:4.2.1.12]
* R7A2020_28390       K07114   94.77  146.0   5.5e-43 Ca-activated chloride channel homolog
* R7A2020_28395       K21826  436.93  444.8  1.1e-133 AraC family transcriptional regulator, glycine betaine-responsive activator
* R7A2020_28400       K01491  395.33  432.9  7.5e-130 methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase [EC:1.5.1.5 3.5.4.9]
* R7A2020_28420       K05946  229.37  247.8   6.5e-74 N-acetylglucosaminyldiphosphoundecaprenol N-acetyl-beta-D-mannosaminyltransferase [EC:2.4.1.187]
* R7A2020_28435       K16567  140.33  176.8   2.4e-52 exopolysaccharide production protein ExoQ
* R7A2020_28440       K00286   91.60  298.2   3.4e-89 pyrroline-5-carboxylate reductase [EC:1.5.1.2]
* R7A2020_28450       K22552  307.33  327.6   4.5e-98 multicopper oxidase [EC:1.16.3.1]
* R7A2020_28490       K12511  129.77  205.3   4.6e-61 tight adherence protein C
* R7A2020_28495       K12510   81.10  157.7   1.5e-46 tight adherence protein B
* R7A2020_28500       K02283  330.00  617.9    1e-185 pilus assembly protein CpaF [EC:7.4.2.8]
* R7A2020_28505       K02651   27.70   53.2   1.2e-14 pilus assembly protein Flp/PilA
* R7A2020_28510       K02651   27.70   50.9   6.1e-14 pilus assembly protein Flp/PilA
* R7A2020_28515       K02279   48.63  203.7   1.7e-60 pilus assembly protein CpaB
* R7A2020_28520       K02280  221.47  433.2  5.2e-130 pilus assembly protein CpaC
* R7A2020_28545       K02282  176.43  206.1   3.9e-61 pilus assembly protein CpaE
* R7A2020_28565       K12543  308.73  349.7  1.3e-104 outer membrane protein, adhesin transport system
* R7A2020_28570       K12541  649.07  803.9  6.7e-242 ATP-binding cassette, subfamily C, bacterial LapB
* R7A2020_28575       K12542  368.97  495.7  6.9e-149 membrane fusion protein, adhesin transport system
* R7A2020_28640       K00790  186.00  630.8  4.9e-190 UDP-N-acetylglucosamine 1-carboxyvinyltransferase [EC:2.5.1.7]
* R7A2020_28650       K00013  511.20  632.4  3.5e-190 histidinol dehydrogenase [EC:1.1.1.23]
* R7A2020_28665       K02518   43.77  147.1     1e-43 translation initiation factor IF-1
* R7A2020_28670       K06287   70.97  256.6   1.4e-76 septum formation protein
* R7A2020_28675       K09862   41.03   73.2   7.1e-21 uncharacterized protein
* R7A2020_28680       K07406  379.63  673.0  8.5e-203 alpha-galactosidase [EC:3.2.1.22]
* R7A2020_28685       K02031  418.00  803.4  8.9e-242 peptide/nickel transport system ATP-binding protein
* R7A2020_28685       K02032  384.37  776.4    9e-234 peptide/nickel transport system ATP-binding protein
* R7A2020_28690       K02034  190.03  313.6   9.1e-94 peptide/nickel transport system permease protein
* R7A2020_28695       K02033  209.53  296.9     1e-88 peptide/nickel transport system permease protein
* R7A2020_28705       K07406  379.63  586.8  1.1e-176 alpha-galactosidase [EC:3.2.1.22]
* R7A2020_28720       K10191  552.27  571.8    2e-172 lactose/L-arabinose transport system ATP-binding protein
* R7A2020_28725       K10190  314.60  351.4  1.2e-105 lactose/L-arabinose transport system permease protein
* R7A2020_28730       K10189  347.57  383.3  2.5e-115 lactose/L-arabinose transport system permease protein
* R7A2020_28730       K02025  267.83  296.4     1e-88 multiple sugar transport system permease protein
* R7A2020_28735       K10188  326.83  548.3  3.7e-165 lactose/L-arabinose transport system substrate-binding protein
* R7A2020_28735       K02027  183.17  186.6   3.1e-55 multiple sugar transport system substrate-binding protein
* R7A2020_28740       K23237  184.80  230.0   1.8e-68 AraC family transcriptional regulator, melibiose operon regulatory protein
* R7A2020_28805       K01533  733.53  798.4  2.8e-240 P-type Cu2+ transporter [EC:7.2.2.9]
* R7A2020_28820       K00406   98.97  311.2   5.3e-93 cytochrome c oxidase cbb3-type subunit III
